-
Art1,PpV,629741,622987,FBpp0081780,FBpp0070883,0.000,0.000,0.000,0.000,0.455,0.000,0.000,0.000,0.455
CG17331,l(3)01239,628917,626140,FBpp0080490,FBpp0075967,0.000,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.401
Tcp-1eta,CG12304,629518,625731,FBpp0081401,FBpp0075318,0.000,0.000,0.000,0.000,0.442,0.000,0.000,0.000,0.442
eEF1delta,Ard1,628304,626199,FBpp0079542,FBpp0076081,0.000,0.000,0.000,0.000,0.712,0.000,0.000,0.000,0.712
Bub3,tsr,631620,623750,FBpp0084831,FBpp0072097,0.000,0.000,0.000,0.000,0.618,0.078,0.000,0.000,0.624
CG31184,CG18591,636499,628073,FBpp0289873,FBpp0079182,0.000,0.000,0.000,0.000,0.880,0.633,0.000,0.616,0.980
Nup62,Bub3,632476,631620,FBpp0086294,FBpp0084831,0.000,0.000,0.000,0.000,0.888,0.000,0.000,0.000,0.887
Rpb5,mago,633109,623376,FBpp0087332,FBpp0071497,0.000,0.000,0.000,0.000,0.686,0.000,0.900,0.000,0.966
mRpL12,CG12848,626290,623906,FBpp0076238,FBpp0072342,0.000,0.000,0.000,0.000,0.810,0.000,0.000,0.000,0.810
Nup62,YL-1,632476,628439,FBpp0086294,FBpp0079735,0.000,0.000,0.000,0.000,0.199,0.000,0.000,0.553,0.618
Aos1,ran,629915,624491,FBpp0082065,FBpp0073328,0.000,0.000,0.000,0.000,0.733,0.000,0.000,0.000,0.733
CG17768,l(3)01239,634209,626140,FBpp0099642,FBpp0075967,0.000,0.000,0.000,0.000,0.407,0.000,0.000,0.000,0.407
snRNP2,CG8928,629403,624877,FBpp0081234,FBpp0073937,0.000,0.000,0.000,0.000,0.384,0.000,0.000,0.124,0.425
mtSSB,Bub3,634173,631620,FBpp0099503,FBpp0084831,0.000,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.463
FK506-bp1,Tcp-1zeta,630225,624858,FBpp0082574,FBpp0073902,0.000,0.000,0.000,0.000,0.827,0.000,0.000,0.000,0.827
CG7519,l(3)01239,627370,626140,FBpp0078009,FBpp0075967,0.000,0.000,0.000,0.000,0.672,0.000,0.000,0.000,0.672
DebB,Su(var)205,632965,628114,FBpp0087118,FBpp0079251,0.000,0.000,0.000,0.000,0.443,0.000,0.000,0.000,0.443
SmG,CG11583,634940,624343,FBpp0111906,FBpp0073098,0.000,0.000,0.000,0.000,0.436,0.000,0.000,0.000,0.436
CG3004,PpV,623256,622987,FBpp0071303,FBpp0070883,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.124,0.430
CG6764,mRpL39,629810,625797,FBpp0081879,FBpp0075425,0.000,0.000,0.000,0.000,0.515,0.000,0.000,0.064,0.516
mRpL1,CG1307,629458,629376,FBpp0081322,FBpp0081196,0.000,0.000,0.000,0.000,0.459,0.000,0.000,0.000,0.459
Set,Csl4,630199,628486,FBpp0082521,FBpp0079813,0.000,0.000,0.000,0.000,0.495,0.000,0.000,0.000,0.496
CG8258,l(3)01239,633319,626140,FBpp0087764,FBpp0075967,0.000,0.000,0.000,0.000,0.275,0.081,0.900,0.185,0.934
FK506-bp2,His2Av,632138,631377,FBpp0085703,FBpp0084434,0.000,0.000,0.000,0.000,0.878,0.403,0.000,0.000,0.922
CG7911,smt3,631701,627958,FBpp0084971,FBpp0078984,0.000,0.000,0.000,0.000,0.877,0.000,0.000,0.000,0.877
FK506-bp1,CG5525,630225,628594,FBpp0082574,FBpp0079992,0.000,0.000,0.000,0.000,0.863,0.000,0.000,0.000,0.863
La,hoip,629199,628237,FBpp0080906,FBpp0079443,0.000,0.000,0.000,0.000,0.981,0.079,0.000,0.000,0.981
mod,CG7033,631862,623200,FBpp0085233,FBpp0071226,0.000,0.000,0.000,0.000,0.611,0.000,0.000,0.000,0.611
ran,Nap1,624491,623767,FBpp0073328,FBpp0072128,0.000,0.000,0.000,0.000,0.562,0.000,0.000,0.000,0.563
FK506-bp1,CG7519,630225,627370,FBpp0082574,FBpp0078009,0.000,0.000,0.000,0.000,0.697,0.000,0.000,0.000,0.698
Tcp-1eta,CG9246,629518,629256,FBpp0081401,FBpp0081001,0.000,0.000,0.000,0.000,0.589,0.000,0.000,0.000,0.589
CG13277,CG13298,628915,626583,FBpp0080488,FBpp0076723,0.000,0.000,0.000,0.000,0.455,0.000,0.000,0.120,0.488
l(2)37Cg,Rpb11,629065,628971,FBpp0080704,FBpp0080564,0.000,0.000,0.000,0.814,0.543,0.000,0.000,0.508,0.584
CG17331,skpA,628917,622485,FBpp0080490,FBpp0070119,0.000,0.000,0.000,0.000,0.391,0.076,0.911,0.000,0.943
CG31917,mRpL14,627761,622652,FBpp0078673,FBpp0070389,0.000,0.000,0.000,0.000,0.487,0.000,0.000,0.000,0.487
Rpb5,CG18591,633109,628073,FBpp0087332,FBpp0079182,0.064,0.000,0.000,0.000,0.850,0.000,0.900,0.240,0.987
His2Av,Ssb-c31a,631377,628089,FBpp0084434,FBpp0079211,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.132,0.557
hoip,Tcp-1zeta,628237,624858,FBpp0079443,FBpp0073902,0.000,0.000,0.000,0.000,0.734,0.000,0.000,0.066,0.735
ran,e(r),624491,623188,FBpp0073328,FBpp0071210,0.000,0.000,0.000,0.000,0.821,0.000,0.000,0.499,0.904
CG16817,me31B,629615,628321,FBpp0081560,FBpp0079565,0.000,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.406
YL-1,ebi,628439,627188,FBpp0079735,FBpp0077715,0.000,0.000,0.000,0.000,0.000,0.605,0.000,0.208,0.666
La,smt3,629199,627958,FBpp0080906,FBpp0078984,0.000,0.000,0.000,0.000,0.352,0.212,0.000,0.000,0.456
